125525,YOGURT FROZEN,4,0,25,F,School,CS,0.00,0,0.00,1,4,0, ,0,0,0,0
127250,TOP TOPPING,12/1 LB.,0,27,F,Both,CS,24.74,0,0.00,1,12,0, ,0,0,0,0
129800,PAN COATING (VEGALENE),6/16 OZ,0,29,F,Both,CS,16.26,0,16.26,1,6,1, ,0,0,0,31
131340,CHEESE CREAM,240/3/4 OZ,0,31,F,Both,CS,33.89,0,33.89,1,240,0, ,0,0,0,0
131345,CHEESE CREAM,3#,0,31,F,DFC,BOX,5.05,0,5.05,0,0,0, ,0,0,0,0
131362,SHREDDED CHEDDAR CHEESE GC,4/5#,0,31,F,Both,CS,0.00,0,0.00,20,0,0, ,0,0,0,0
131363,MAC & CHEESE GC, ,0,31,F,Both,CS,0.00,0,0.00,0,0,0, ,0,0,0,0
131364,CHEESE PROC LAND O LAKES GC,6/5#,0,31,F,Both,CS,0.00,0,0.00,0,0,0, ,0,0,0,0
140060,BOLOGNA TURKEYPUR,10.5#,0,40,F,DFC,CS,7.76,0,7.76,10,160,0, ,0,0,0,0
140065,BOLOGNA TURKEY GC,40#,0,40,F,DFC,CS,0.00,0,0.00,0,0,0, ,0,0,0,0
140100,CHICKEN BATTER FRIED TYSON GC,20#,0,40,F,Both,CS,18.45,0,18.45,0,75,0, ,0,0,0,0
140103,CHICKEN NUGGETS 3737 TYSON GC,484 CT,0,40,F,Both,CS,29.45,0,20.35,0,107,0, ,0,0,0,0
140106,CHICKEN PATTY 3857 TYSON,141 CT,0,40,F,Both, ,0.00,0,0.00,141,2,0, ,0,0,0,0
140220,CHICKEN TENDERS 3859 TYSON GC,138 CT,0,40,F,Both,CS,18.45,0,18.45,1,138,0, ,0,0,0,0
140230,CHICKEN PATTY H&S 5567 TYSON,148 CT,0,40,F,Both,CS,0.00,0,0.00,148,0,0, ,0,0,0,0
140275,HAM TURKEY PICNIC (GC),40#,0,40,F,Both,CS,22.00,0,22.00,11,440,0, ,0,0,0,0
140425,CLASSIC HAMBURGER DON LEE,75,0,40,F,Both,CS,12.56,0,12.56,1,75,0, ,0,0,0,0
